ID,Electrolyte,parameter,threshold,direction,TailID,MeaningID,Order,Point
87,pH,PPH,7.35,High,119;95,,1,
84,K,PK,3.5,High,118;78,,1,
39,Na,PNa,135,High,114;15,,1,
119,pH,PPH,7.45,Low,90;88;89;163,,2,
118,K,PK,5.5,Low,,22,2,1
114,Na,PNa,145,Low,,36,2,1
88,pH,PAG,12,High,123;161,,3,
80,K,PK,3.5,Low,67;73,23,3,0.5
27,Na,PNa,135,Low,55;75,37,3,0.5
161,pH,PHCO3,24,High,100;103;107;108,3;4,4,0.7
67,K,UK,15,Low,,25,4,0.5
55,Na,POsm,275,High,,39,4,0.5
123,pH,PDeltaRatio,2,High,100;103;107;108,3;4,5,0.7
75,Na,POsm,275,Low,63;33,152,5,0.1
73,K,UK,15,High,41;22,26,5,0.2
90,pH,PHCO3,26,High,120,,6,
63,Na,UOsm,100,Low,,40,6,0.4
41,K,TTKG,2,Low,,27,6,0.3
120,pH,PCO2,45,High,107;108,4;5,7,0.7
33,Na,UOsm,100,High,10;115,153,7,0.1
22,K,TTKG,4,High,57;30,28,7,0.2
89,pH,PHCO3,22,Low,121,,8,
57,K,VolumeStatus,0.5,High,,29,8,0.1
10,Na,VolumeStatus,-0.5,Low,83;25,41,8,0.2
121,pH,PCO2,35,Low,100;103,3;6,9,0.7
83,Na,UNa,20,Low,,44,9,0.1
30,K,VolumeStatus,0.5,Low,,30,9,0.1
163,pH,PAG,12,Low,164,,10,
78,K,PK,5.5,High,81;64,24,10,0.5
25,Na,UNa,20,High,,45,10,0.1
164,pH,PHCO3,26,Low,160,,11,
115,Na,VolumeStatus,-0.5,High,34;42,,11,
81,K,UK,40,High,,32,11,0.5
160,pH,PHCO3,22,High,,154,12,1
64,K,UK,40,Low,37;54,31,12,0.2
34,Na,VolumeStatus,0.5,Low,26;28,42,12,0.2
91,pH,PPH,7.35,Low,124;125,10,13,0.4
37,K,UNa,25,Low,,33,13,0.3
26,Na,UNa,20,Low,,155,13,0.1
124,pH,PHCO3,22,Low,126;127,,14,0.1
54,K,UNa,25,High,82;45,,14,0.1
28,Na,UNa,20,High,,46,14,0.1
126,pH,Diff.PCO2,5,High,100;103,3;5,15,0.2
82,K,TTKG,8,High,,34,15,0.2
42,Na,VolumeStatus,0.5,High,59;23,43,15,0.2
127,pH,Diff.PCO2,5,Low,140;128,,16,
59,Na,UNa,20,Low,,47,16,0.1
45,K,TTKG,5,Low,,35,16,0.2
140,pH,Diff.PCO2,-5,High,100;103,3,17,0.2
23,Na,UNa,20,High,,48,17,0.1
128,pH,Diff.PCO2,-5,Low,100;103,3;6,18,0.2
15,Na,PNa,145,High,11;50,38,18,0.5
125,pH,PCO2,45,High,141;142,,19,0.1
11,Na,VolumeStatus,0.5,High,,49,19,0.5
141,pH,AcuteChronic,0.5,High,129;130,,20,
50,Na,VolumeStatus,0.5,Low,36;62,50,20,0.2
129,pH,Diff.PHCO3,-2,Low,100;103,5;3,21,0.2
36,Na,UOsm,800,High,116,,21,
130,pH,Diff.PHCO3,-2,High,146;131,,22,
116,Na,UrineOutput,500,Low,,51,22,0.3
146,pH,Diff.PHCO3,2,Low,,5,23,0.2
62,Na,UrineOutput,500,High,53;60,52,23,0.2
131,pH,Diff.PHCO3,2,High,107;108,5;4,24,0.2
53,Na,UER,750,High,,53,24,0.1
142,pH,AcuteChronic,0.5,Low,143;144,,25,
60,Na,UER,750,Low,74,54,25,0.05
143,pH,Diff.PHCO3,-4,Low,100;103,5;3,26,0.2
74,Na,UOsm,300,Low,,55,26,0.05
144,pH,Diff.PHCO3,-4,High,147;145,,27,
147,pH,Diff.PHCO3,4,Low,,5,28,0.2
145,pH,Diff.PHCO3,4,High,107;108,5;4,29,0.2
95,pH,PPH,7.45,High,132;133,11,30,0.4
132,pH,PHCO3,26,High,134;148,,31,0.1
134,pH,Diff.PCO2,-5,Low,107;108,4;6,32,0.2
148,pH,Diff.PCO2,-5,High,135;136,,33,
135,pH,Diff.PCO2,5,Low,107;108,4,34,0.2
136,pH,Diff.PCO2,5,High,107;108,4;5,35,0.2
133,pH,PCO2,35,Low,149;150,,36,0.1
149,pH,AcuteChronic,0.5,High,137;138,,37,
137,pH,Diff.PHCO3,2,High,107;108,6;4,38,0.2
138,pH,Diff.PHCO3,2,Low,154;139,,39,
154,pH,Diff.PHCO3,-2,High,,6,40,0.2
139,pH,Diff.PHCO3,-2,Low,100;103,6;3,41,0.2
150,pH,AcuteChronic,0.5,Low,151;152,,42,
151,pH,Diff.PHCO3,4,High,107;108,6;4,43,0.2
152,pH,Diff.PHCO3,4,Low,155;153,,44,
155,pH,Diff.PHCO3,-4,High,,6,45,0.2
153,pH,Diff.PHCO3,-4,Low,100;103,6;3,46,0.2
100,pH,PAG,12,High,157;162;166,,47,
157,pH,PDeltaRatio,0.8,High,101;102,12,48,0.2
166,pH,PDeltaRatio,0,Low,101;102,12,49,0.2
162,pH,PDeltaRatio,0,High,156,,50,
156,pH,PDeltaRatio,0.8,Low,104;105;101;102,12;13,51,0.2
101,pH,POG,10,Low,,14,52,0.1
102,pH,POG,10,High,,15,53,0.1
103,pH,PAG,12,Low,104;105,13,54,0.2
104,pH,UAG,0,Low,,16,55,0.1
105,pH,UAG,0,High,,17,56,0.1
107,pH,UCl,10,Low,,18,57,0.3
108,pH,UCl,20,High,109;110,19,58,0.2
109,pH,VolumeStatus,0.5,Low,,20,59,0.1
110,pH,VolumeStatus,0.5,High,,21,60,0.1
